"scope","template_key","category","source_enabled","standard_segments_current","standard_segments_after","expanded_segments_current","expanded_segments_after","fallback_segments_current","fallback_segments_after","standard_slots_current","standard_characters_saved","source","standard_render_current","standard_render_after"
"sms_templates","estimate_followup_expiring","estimates","true","2","2","2","2","2","2","178","0","20260706000010_sms_template_cleanup.js","Hello Testname! Heads up: your Waves estimate expires on September 30. portal.wavespestcontrol.com/l/abcdefghjk

Reply here if you'd like to move forward.

Reply STOP to opt out.","Hello Testname! Heads up: your Waves estimate expires on September 30. portal.wavespestcontrol.com/l/abcdefghjk

Reply here if you'd like to move forward.

Reply STOP to opt out."
"sms_templates","review_request_followup","reviews","true","2","2","2","2","2","2","183","8","20260706000010_sms_template_cleanup.js","No pressure, Testname. If you have a minute, your review helps other SWFL families find a pest company they can trust: https://g.page/r/abcdefghijklmnop/review

Reply STOP to opt out.","No pressure, Testname. If you have a minute, your review helps other SWFL families find a pest company they can trust: g.page/r/abcdefghijklmnop/review

Reply STOP to opt out."
"sms_templates","health_retention_offer","system","false","1","1","1","1","1","1","127","0","20260730000020_sms_template_audit.js","Hello Testname! Adam from Waves. We value your business and want to make sure service is working for you. Open to a quick call?","Hello Testname! Adam from Waves. We value your business and want to make sure service is working for you. Open to a quick call?"
"sms_templates","service_complete_with_invoice","service-reports","true","2","1","3","2","3","3","189","32","20260907000070_shorten_long_sms_templates.js","Hello Testname! Your Quarterly Pest Control report is ready: portal.wavespestcontrol.com/l/abcdefghjk

Invoice for today's visit: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Quarterly Pest Control report: portal.wavespestcontrol.com/l/abcdefghjk

Invoice: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","autopay_charge_success","autopay","false","1","1","1","1","2","2","152","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your WaveGuard monthly payment of $100.00 went through. Thank you.

Receipt: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Your WaveGuard monthly payment of $100.00 went through. Thank you.

Receipt: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","autopay_charge_failed","autopay","false","2","2","2","2","2","2","174","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your WaveGuard monthly payment of $100.00 did not go through. We'll retry in a few days, or you can update your card here: portal.wavespestcontrol.com/billing","Hello Testname! Your WaveGuard monthly payment of $100.00 did not go through. We'll retry in a few days, or you can update your card here: portal.wavespestcontrol.com/billing"
"sms_templates","autopay_retry_success","autopay","false","1","1","1","1","2","2","134","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your payment of $100.00 went through. Thank you.

Receipt: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Your payment of $100.00 went through. Thank you.

Receipt: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","autopay_retry_failed","autopay","false","2","2","2","2","2","2","166","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your payment of $100.00 still did not go through. We'll try again in a few days, or you can update your card here: portal.wavespestcontrol.com/billing","Hello Testname! Your payment of $100.00 still did not go through. We'll try again in a few days, or you can update your card here: portal.wavespestcontrol.com/billing"
"sms_templates","autopay_retry_final_failed","autopay","false","1","1","1","1","1","1","154","0","20260801200000_billing_copy_no_false_interruption.js","Hello Testname! After several tries your payment of $100.00 still has not gone through. You can update your card here: portal.wavespestcontrol.com/billing","Hello Testname! After several tries your payment of $100.00 still has not gone through. You can update your card here: portal.wavespestcontrol.com/billing"
"sms_templates","autopay_pre_charge","autopay","false","1","1","1","1","1","1","110","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your Waves auto-pay processes on September 15.

Need to update your card or pause? Reply here.","Hello Testname! Your Waves auto-pay processes on September 15.

Need to update your card or pause? Reply here."
"sms_templates","autopay_card_expired","autopay","false","1","1","1","1","1","1","130","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your Visa card ending in 4242 expired 09/2026. Update it here to keep auto-pay active: portal.wavespestcontrol.com","Hello Testname! Your Visa card ending in 4242 expired 09/2026. Update it here to keep auto-pay active: portal.wavespestcontrol.com"
"sms_templates","autopay_card_expiring","autopay","false","1","1","1","1","1","1","132","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your Visa card ending in 4242 expires 09/2026. Update it here so auto-pay keeps working: portal.wavespestcontrol.com","Hello Testname! Your Visa card ending in 4242 expires 09/2026. Update it here so auto-pay keeps working: portal.wavespestcontrol.com"
"sms_templates","payment_method_expiry","autopay","false","1","1","1","1","1","1","140","0","20260801200000_billing_copy_no_false_interruption.js","Hello Testname! Your Visa card ending in 4242 expires 09/2026. Update it here so we have a current card on file: portal.wavespestcontrol.com","Hello Testname! Your Visa card ending in 4242 expires 09/2026. Update it here so we have a current card on file: portal.wavespestcontrol.com"
"sms_templates","service_complete_prepaid","service-reports","true","1","1","1","1","2","2","132","0","20260808060000_remove_reservice_line_sms_templates.js","Hello Testname! Thanks for your payment today. Your Quarterly Pest Control report is ready: portal.wavespestcontrol.com/l/abcdefghjk","Hello Testname! Thanks for your payment today. Your Quarterly Pest Control report is ready: portal.wavespestcontrol.com/l/abcdefghjk"
"sms_templates","appointment_series_cancelled","appointments","true","1","1","1","1","1","1","131","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your recurring appointments for Quarterly Pest Control is cancelled.

Want to get back on the schedule? Reply here.","Hello Testname! Your recurring appointments for Quarterly Pest Control is cancelled.

Want to get back on the schedule? Reply here."
"sms_templates","waveguard_upsell","system","false","1","1","2","2","2","2","159","0","20260730000020_sms_template_audit.js","Hello Testname! Based on your recent services, Silver WaveGuard may be a better fit with unlimited coverage and predictable billing.

Reply INFO to learn more.","Hello Testname! Based on your recent services, Silver WaveGuard may be a better fit with unlimited coverage and predictable billing.

Reply INFO to learn more."
"sms_templates","renewal_reminder","retention","true","1","1","1","1","1","1","122","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your annual protection ends soon.

Reply RENEW or call us to keep coverage active.

Reply STOP to opt out.","Hello Testname! Your annual protection ends soon.

Reply RENEW or call us to keep coverage active.

Reply STOP to opt out."
"sms_templates","tech_arrived","appointments","true","1","1","1","1","1","1","50","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Tech has arrived for your service.","Hello Testname! Tech has arrived for your service."
"sms_templates","billing_reminder","system","false","1","1","1","1","1","1","98","0","20260730000020_sms_template_audit.js","Hello Testname! Your Silver WaveGuard monthly charge of $100.00 will be processed on September 15.","Hello Testname! Your Silver WaveGuard monthly charge of $100.00 will be processed on September 15."
"sms_templates","seasonal_reactivation","retention","true","1","1","2","2","2","2","154","0","20260706000010_sms_template_cleanup.js","Hello Testname! It is time to plan your next pest treatment. We'd love to get you back on the schedule. Reply YES to book. - Waves

Reply STOP to opt out.","Hello Testname! It is time to plan your next pest treatment. We'd love to get you back on the schedule. Reply YES to book. - Waves

Reply STOP to opt out."
"sms_templates","invoice_followup_7day","invoices","true","1","1","2","2","2","2","156","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is still open. Pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is still open. Pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","invoice_followup_14day","invoices","true","2","2","2","2","2","2","219","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Checking in on your invoice for Quarterly Pest Control on September 15. You can pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

If something is holding it up, reply and we'll help.","Hello Testname! Checking in on your invoice for Quarterly Pest Control on September 15. You can pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

If something is holding it up, reply and we'll help."
"sms_templates","invoice_followup_30day","invoices","true","2","2","2","2","2","2","231","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Final notice on your invoice for Quarterly Pest Control on September 15. Please pay to keep the account in good standing: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

Need a payment plan? Reply here.","Hello Testname! Final notice on your invoice for Quarterly Pest Control on September 15. Please pay to keep the account in good standing: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

Need a payment plan? Reply here."
"sms_templates","annual_prepay_renewal_reminder","retention","true","1","1","2","2","2","2","155","0","20260810000060_stop_line_off_customer_transactional.js","Hello Testname! Your prepaid plan year ends on September 15, 2026.

It continues into next year on its own. Want to change or cancel? Reply and we'll help.","Hello Testname! Your prepaid plan year ends on September 15, 2026.

It continues into next year on its own. Want to change or cancel? Reply and we'll help."
"sms_templates","manual_payment_receipt","invoices","true","1","1","1","1","2","2","123","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your payment went through. Thank you.

Receipt: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Your payment went through. Thank you.

Receipt: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","balance_reminder_gentle","late-payments","true","2","2","2","2","2","2","212","0","20260801200000_billing_copy_no_false_interruption.js","Hello Testname! We're scheduled to see you on September 15, and your account has an outstanding balance.

You can take care of it before the visit here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! We're scheduled to see you on September 15, and your account has an outstanding balance.

You can take care of it before the visit here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","balance_reminder_firm","late-payments","true","2","2","2","2","2","2","191","0","20260801200000_billing_copy_no_false_interruption.js","Hello Testname! Your Quarterly Pest Control is tomorrow and your account has an outstanding balance.

You can take care of it here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Your Quarterly Pest Control is tomorrow and your account has an outstanding balance.

You can take care of it here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","balance_reminder_urgent","late-payments","true","2","2","2","2","2","2","194","0","20260801200000_billing_copy_no_false_interruption.js","Hello Testname! Your service is tomorrow and your account has an outstanding balance.

Pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

Already paid? Reply and we'll check.","Hello Testname! Your service is tomorrow and your account has an outstanding balance.

Pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

Already paid? Reply and we'll check."
"sms_templates","balance_payment_received","late-payments","true","1","1","1","1","1","1","108","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Thank you for the payment. Your account is caught up and we'll see you at your next service.","Hello Testname! Thank you for the payment. Your account is caught up and we'll see you at your next service."
"sms_templates","ach_retry_notice","autopay","true","1","1","1","1","1","1","133","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your bank payment did not go through. We'll retry automatically in 3 business days. Nothing you need to do right now.","Hello Testname! Your bank payment did not go through. We'll retry automatically in 3 business days. Nothing you need to do right now."
"sms_templates","ach_card_fallback","autopay","true","2","2","2","2","2","2","204","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your bank payment failed again, so we switched this payment to your card on file. Card payments include a processing fee. You can switch back to bank payment once your account is verified.","Hello Testname! Your bank payment failed again, so we switched this payment to your card on file. Card payments include a processing fee. You can switch back to bank payment once your account is verified."
"sms_templates","ach_suspended","autopay","true","2","2","2","2","2","2","225","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your bank payment failed again, so we set your card as the default. Card payments include a processing fee.

To pay by bank with no added fee, update your bank account here: portal.wavespestcontrol.com/billing","Hello Testname! Your bank payment failed again, so we set your card as the default. Card payments include a processing fee.

To pay by bank with no added fee, update your bank account here: portal.wavespestcontrol.com/billing"
"sms_templates","bank_verification_incomplete","autopay","true","1","1","1","1","1","1","147","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your bank account verification isn't finished. Complete it here so your payment can go through: portal.wavespestcontrol.com/billing","Hello Testname! Your bank account verification isn't finished. Complete it here so your payment can go through: portal.wavespestcontrol.com/billing"
"sms_templates","bank_verification_failed","autopay","true","1","1","1","1","1","1","120","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! We could not verify your bank account. Try again or use a card here: portal.wavespestcontrol.com/billing","Hello Testname! We could not verify your bank account. Try again or use a card here: portal.wavespestcontrol.com/billing"
"sms_templates","estimate_accepted_onetime","estimates","true","1","1","1","1","2","2","124","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Thanks for booking your Quarterly Pest Control. Choose a time here: portal.wavespestcontrol.com/l/abcdefghjk","Hello Testname! Thanks for booking your Quarterly Pest Control. Choose a time here: portal.wavespestcontrol.com/l/abcdefghjk"
"sms_templates","estimate_accepted_annual_prepay","estimates","true","1","1","1","1","1","1","102","0","20260831000070_prepay_acceptance_sms_post_delivery_copy.js","Hello Testname! Your WaveGuard Silver annual plan is approved. Your invoice for $100.00 is on the way.","Hello Testname! Your WaveGuard Silver annual plan is approved. Your invoice for $100.00 is on the way."
"sms_templates","estimate_extended","estimates","true","1","1","2","2","2","2","158","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! We extended your estimate through September 30 so you have more time with it: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out.","Hello Testname! We extended your estimate through September 30 so you have more time with it: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out."
"sms_templates","referral_invite","referrals","true","1","1","1","1","2","2","151","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Testname recommended Waves Pest Control to you. Get a free quote here: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out.","Hello Testname! Testname recommended Waves Pest Control to you. Get a free quote here: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out."
"sms_templates","referral_reward","referrals","true","1","1","1","1","1","1","91","0","20260810000060_stop_line_off_customer_transactional.js","Testname, your referral Testname signed up and you earned $25. Thank you for sharing Waves.","Testname, your referral Testname signed up and you earned $25. Thank you for sharing Waves."
"sms_templates","referral_milestone","referrals","true","1","1","1","1","1","1","101","0","20260810000060_stop_line_off_customer_transactional.js","Congrats Testname! You reached Silver with 3 referrals and earned $25. Thanks for helping Waves grow.","Congrats Testname! You reached Silver with 3 referrals and earned $25. Thanks for helping Waves grow."
"sms_templates","upsell_interest_confirmation","retention","true","2","2","2","2","2","2","163","0","20260810000060_stop_line_off_customer_transactional.js","Hello Testname! Thanks for your interest in Lawn Care. We'll follow up within 24 hours to get you set up, and your Silver WaveGuard discount applies automatically.","Hello Testname! Thanks for your interest in Lawn Care. We'll follow up within 24 hours to get you set up, and your Silver WaveGuard discount applies automatically."
"sms_templates","upsell_tier_upgrade","retention","true","2","2","2","2","2","2","199","0","20260706000010_sms_template_cleanup.js","Hello Testname! Adam from Waves here. Upgrading to WaveGuard Gold can add more coverage and service savings. Want me to run the numbers? Reply YES and I will send a breakdown.

Reply STOP to opt out.","Hello Testname! Adam from Waves here. Upgrading to WaveGuard Gold can add more coverage and service savings. Want me to run the numbers? Reply YES and I will send a breakdown.

Reply STOP to opt out."
"sms_templates","upsell_add_service","retention","true","2","2","2","2","2","2","192","0","20260706000010_sms_template_cleanup.js","Hello Testname! Adam from Waves here. Since you are already a WaveGuard member, we can add Lawn Care to your plan with bundled service savings. Want details? Reply YES.

Reply STOP to opt out.","Hello Testname! Adam from Waves here. Since you are already a WaveGuard member, we can add Lawn Care to your plan with bundled service savings. Want details? Reply YES.

Reply STOP to opt out."
"sms_templates","cancellation_save_step1_price","cancellations","true","2","2","2","2","2","2","179","0","20260706000010_sms_template_cleanup.js","Hello Testname. We understand budgets matter. We've been proud to help protect your home and do not want to lose you. We'll follow up with options shortly.

Reply STOP to opt out.","Hello Testname. We understand budgets matter. We've been proud to help protect your home and do not want to lose you. We'll follow up with options shortly.

Reply STOP to opt out."
