file,symbols_and_lines,components_and_lines,choices_and_lines,api_calls_and_lines,route_guards,state_and_subscriptions,flags,relative_dependencies
client/src/components/TechLayout.jsx,TechLayout:30,AddToHomeScreenHint:196; AddToHomeScreenHint:273; Outlet:274; Link:294,,GET/default ${…}/admin/auth/me:56,,localStorage.removeItem waves_admin_token:50; localStorage.removeItem adminToken:51; localStorage.removeItem waves_admin_user:52; localStorage.setItem waves_admin_user:77; ,,client/src/lib/adminAuth.js; client/src/hooks/useFeatureFlag.js; client/src/components/tech/AddToHomeScreenHint.jsx
client/src/components/admin/AdminCommandHeader.jsx,AdminCommandHeader:4,SectionIcon:70; Icon:103; Heading:105; Button:119; ActionIcon:132,,,,; ,,client/src/components/ui/index.js
client/src/components/admin/AdminTabRedirect.jsx,AdminTabRedirect:4,Navigate:33,,,,; ,,
client/src/components/admin/AuthenticatedCallAudio.jsx,,,,GET/default ${…}/admin/call-recordings/audio/${…}:110,,localStorage.getItem waves_admin_token:101; ,,
client/src/components/admin/CallBridgeLink.jsx,CallBridgeLink:47,,,POST ${…}/admin/communications/call:16,,localStorage.getItem waves_admin_token:19; ,,
client/src/components/admin/CallIntelligencePanel.jsx,Row:66; CallIntelligencePanel:90,Badge:188; Badge:192; Row:213; Row:216; Row:219; Row:220; Row:221; Row:226; Row:231; Row:232; Row:233; Badge:250; Button:254; Input:261; Button:286; Button:300; Button:321; Select:345; Select:349; Input:355; Input:357; Button:358; Badge:378; Badge:380; Badge:381; Input:398; Input:400; Button:401; Button:402; Button:450; Button:453; Button:456; Button:459; Button:461; Button:490; Row:508; Row:509; Row:510; Row:511; Row:512,,GET/default /admin/call-recordings/calls/${…}/intelligence:106; PATCH /admin/call-recordings/commitments/${…}:148; GET/default /admin/customers?search=${…}&limit=8:274; PUT /admin/call-recordings/calls/${…}/customer:292; PUT /admin/call-recordings/calls/${…}/customer:305; POST /admin/call-recordings/calls/${…}/commitments:335; POST /admin/call-recordings/calls/${…}/adopt-recording:494,,; ,,client/src/components/ui/index.js; client/src/utils/admin-fetch.js; client/src/lib/timezone.js
client/src/components/admin/CallRoutingSettingsV2.jsx,CallRoutingSettingsV2:42; Row:262,Card:111; CardBody:111; Card:112; CardBody:112; Card:117; CardBody:118; Button:128; Button:129; Badge:138; Row:149; Input:150; Row:160; Row:173; Switch:174; Row:178; Switch:182; Row:186; Switch:190; Input:197; Input:200; Row:223; Switch:227; Row:231; Input:232; Row:243; Input:245,,GET/default ${…}${…}:16; GET/default /admin/settings/call-routing/status:51; GET/default /admin/settings/call-routing:54; PUT /admin/settings/call-routing:82; POST /admin/settings/call-routing/reset:100,,localStorage.getItem waves_admin_token:18; ,,client/src/components/ui/index.js
client/src/components/admin/CallTranscriptSync.jsx,CallTranscriptSync:110,,,,,; ,,client/src/components/ui/index.js
client/src/components/admin/CancelPlanDialog.jsx,Fact:65; CancelPlanDialog:74,Dialog:203; DialogHeader:204; DialogTitle:205; DialogBody:210; Radio:220; Radio:228; Checkbox:239; Button:272; Radio:289; Radio:297; Checkbox:322; Checkbox:336; Select:352; Textarea:361; Fact:385; Fact:386; Fact:387; Fact:388; Fact:390; Fact:393; Fact:396; Fact:399; Fact:401; Fact:402; Fact:405; Fact:429; Fact:430; Fact:431; Fact:433; Fact:435; Fact:437; Fact:439; DialogFooter:457; Button:458; Button:462,,POST /admin/customers/${…}/cancel-plan/preview:100; POST /admin/customers/${…}/cancel-plan:171,,; ,,client/src/components/ui/index.js; client/src/utils/admin-fetch.js; client/src/lib/timezone.js
client/src/components/admin/Customer360ProfileV2.jsx,HealthCircle:485; RadarChart:531; TierBadgeV2:612; StageBadgeV2:624; SectionTitle:638; StatCardV2:647; ContractMeta:714; ElectronicAuthorizationContractV2:785; ServiceRowV2:2145; PropertyZonesPanel:2523; TermiteStationsGate:2867; TermiteStationsPanel:2880; BillingLanePanelV2:3188; AdminAutopayPanelV2:3274; AccountCreditPanelV2:3433; AnnualPrepayPanelV2:3684; AnnualPrepayServiceFields:3759; AnnualPrepayModal:3813; AnnualPrepayInvoiceModal:4236; CancelSignupModal:4704; RefundPaymentModal:4899; Customer360ProfileV2:5134,Badge:613; Badge:615; Badge:617; Badge:631; Button:1185; Button:1194; Button:1203; Button:1212; Link2:1223; ContractMeta:1266; ContractMeta:1267; ContractMeta:1268; ContractMeta:1276; Button:1358; Copy:1360; Button:1395; Link2:1400; Button:1494; Copy:1495; Card:1511; CardBody:1513; FileText:1521; Badge:1533; SectionTitle:1551; Badge:1565; ContractMeta:1570; ContractMeta:1571; ContractMeta:1575; ContractMeta:1579; SectionTitle:1581; Badge:1595; ContractMeta:1681; ContractMeta:1685; ContractMeta:1689; ContractMeta:1696; SectionTitle:1711; Card:1744; CardBody:1746; PenLine:1750; CreditCard:1848; SectionTitle:1873; Table:1877; THead:1879; TR:1881; TH:1883; TH:1884; TH:1885; TH:1886; TH:1887; TH:1888; TBody:1891; TR:1893; TD:1895; Badge:1897; TD:1901; TD:1902; TD:1905; TD:1910; TD:1928; Button:1931; FileText:1938; Button:1943; Mail:1950; Button:1953; MessageSquare:1960; Button:1963; Bell:1970; Button:1978; RotateCcw:1985; Button:1991; CheckCircle2:1998; Button:2003; XCircle:2010; SectionTitle:2030; Button:2037; SectionTitle:2101; Table:2105; THead:2107; TR:2109; TH:2111; TH:2112; TH:2113; TH:2114; TBody:2117; TR:2119; TD:2121; TD:2124; TD:2125; TD:2126; Badge:2178; FileText:2200; Link2:2227; ShieldCheck:2250; ShieldCheck:2309; Droplets:2353; SectionTitle:2753; Button:2756; Button:2777; ZoneMarkingStep:2831; Button:2840; TermiteStationsPanel:2870; SectionTitle:3084; Button:3085; Button:3106; StationMarkingStep:3143; Button:3157; Card:3223; CardBody:3225; Card:3328; CardBody:3330; Button:3372; Card:3524; CardBody:3525; Button:3539; Button:3641; Card:3686; CardBody:3687; Button:3712; Button:3715; AnnualPrepayServiceFields:4094; Button:4219; Button:4222; AnnualPrepayServiceFields:4547; Button:4679; Button:4683; Button:4687; Button:4857; Button:4861; Input:5071; Button:5108; Button:5112; Button:5556; Button:5557; Badge:5941; Badge:5946; HealthCircle:5954; TierBadgeV2:5954; StageBadgeV2:5955; CallBridgeLink:5968; CallBridgeLink:6020; CallBridgeLink:6172; TierBadgeV2:6194; StageBadgeV2:6195; Badge:6197; CustomerRequestsPanel:6291; PropertyZonesPanel:6294; TermiteStationsGate:6295; SectionTitle:6299; SectionTitle:6360; Switch:6430; SectionTitle:6478; SectionTitle:6501; Badge:6515; SectionTitle:6533; Button:6560; StatCardV2:6590; StatCardV2:6595; SectionTitle:6606; Button:6687; SectionTitle:6697; SectionTitle:6736; SectionTitle:6765; RadarChart:6766; SectionTitle:6797; SectionTitle:6820; SectionTitle:6842; ServiceRowV2:6850; SectionTitle:6865; SectionTitle:6897; StatCardV2:6929; StatCardV2:6934; StatCardV2:6938; StatCardV2:6942; BillingLanePanelV2:6947; AdminAutopayPanelV2:6954; AccountCreditPanelV2:6960; AnnualPrepayPanelV2:6966; SectionTitle:6973; Table:6975; THead:6977; TR:6979; TH:6981; TH:6982; TH:6983; TH:6984; TBody:6987; TR:6989; TD:6991; TD:6994; TD:6997; TD:7000; Badge:7002; SectionTitle:7021; Badge:7045; Button:7063; SectionTitle:7077; Badge:7092; Button:7104; Button:7121; ElectronicAuthorizationContractV2:7135; OwedCommitmentsSummary:7148; SectionTitle:7149; AuthenticatedCallAudio:7226; Button:7268; SectionTitle:7284; Button:7490; SectionTitle:7622; CustomerPropertiesPanelV2:7658; SectionTitle:7697; SectionTitle:7736; SectionTitle:7773; Card:7776; CardBody:7778; Card:7791; CardBody:7793; Card:7806; CardBody:7808; Card:7821; CardBody:7823; Table:7838; THead:7840; TR:7842; TH:7844; TH:7845; TH:7846; TH:7847; TH:7848; TBody:7851; TR:7853; TD:7855; TD:7856; TD:7857; TD:7858; TD:7863; SectionTitle:7869; Table:7873; THead:7875; TR:7877; TH:7879; TH:7880; TH:7881; TH:7882; TH:7883; TBody:7886; TR:7888; TD:7890; TD:7891; TD:7894; TD:7899; TD:7900; Card:7910; CardBody:7912; SectionTitle:7914; SectionTitle:7947; Badge:7995; Button:8020; ChevronLeft:8078; CallBridgeLink:8090; MoreHorizontal:8116; CustomerActionBar:8174; AnnualPrepayModal:8190; AnnualPrepayInvoiceModal:8201; CancelSignupModal:8211; CancelPlanDialog:8218; RefundPaymentModal:8225; Trash2:8391; Button:8395; Button:8402,created=Created:764; sent=Sent:765; viewed=Viewed:766; cancelled=Cancelled:769; signed=Signed:771; expired=Expired:773; open=Open:775; overview=Overview:5889; services=Services:5890; billing=Billing:5891; contracts=Contracts:5892; comms=Comms:5893; property=Property:5894; compliance=Compliance:5895; 1=Service contact::5989; 2=Service contact 2::5996; 3=Service contact 3::6003; all=All:7952; sms=SMS:7953; call=Calls:7954; service=Services:7955; payment=Payments:7956; notes=Notes:7957; firstName=First name:8258; lastName=Last name:8259; email=Email:8260; phone=Phone:8261; profileLabel=Property label:8262; addressLine1=Address:8263; addressLine2=Address line 2:8264; city=City:8265; state=State:8266; zip=ZIP:8267; monthlyRate=Monthly rate:8268,GET/default ${…}${…}:104; GET/default /admin/document-templates?status=active&limit=100:904; POST /admin/customers/${…}/autopay-setup-link:931; POST /admin/contracts/customer/${…}/autopay-authorization:956; POST /admin/contracts/${…}/share-link:986; POST /admin/contracts/${…}/cancel:1013; POST /admin/contracts/${…}/renewal-notice:1045; POST <computed>:1078; POST /admin/document-templates/${…}/contracts:1114; GET/default /admin/contracts/${…}/events:1156; GET/default /admin/dispatch/customers/${…}/property-map:2569; PUT /admin/dispatch/customers/${…}/property-zones:2690; GET/default /admin/dispatch/customers/${…}/property-map:2921; PUT /admin/dispatch/customers/${…}/termite-stations:3054; PUT ${…}/admin/customers/${…}:3203; GET/default ${…}/admin/customers/${…}/autopay-state:3286; POST /admin/customers/${…}/charge-now:3312; GET/default /admin/customers/${…}/credits:3456; POST /admin/customers/${…}/credits:3496; GET/default /admin/services/dropdown:3765; POST /admin/customers/${…}/annual-prepay:3990; POST /admin/customers/${…}/annual-prepay:4024; GET/default /admin/customers/${…}/deposit-credit:4280; POST /admin/customers/${…}/annual-prepay-invoice:4378; POST /admin/customers/${…}/annual-prepay-invoice:4391; GET/default /admin/customers/${…}/cancel-signup:4713; POST /admin/customers/${…}/cancel-signup:4723; POST /admin/customers/${…}/refund:4959; GET/default /admin/customers/${…}:5201; GET/default /admin/payers:5211; POST /admin/customers/${…}/resume-service:5258; PUT /admin/customers/${…}:5300; POST /admin/payers:5340; GET/default /admin/customers/${…}:5403; GET/default /admin/customers/${…}/timeline:5404; GET/default /admin/customers/${…}/timeline:5434; GET/default /admin/customers/${…}/comms:5454; PUT /admin/customers/${…}/notification-prefs:5653; PUT /admin/customers/${…}/notification-prefs:5690; POST /admin/communications/sms:5856; GET/default /admin/customers/${…}:5867; GET/default /admin/customers/${…}/comms:5868; PUT /admin/customers/${…}:6452; DELETE /admin/customers/${…}:8375; PUT /admin/customers/${…}:8417,,localStorage.getItem waves_admin_token:106; localStorage.getItem waves_admin_user:211; localStorage.getItem waves_admin_token:3206; localStorage.getItem waves_admin_token:3288; window.addEventListener keydown:4949; window.addEventListener keydown:5482; document.addEventListener mousedown:5492; document.addEventListener touchstart:5493,station-map-v1:2868,client/src/components/admin/StickyActionBar.jsx; client/src/components/admin/AuthenticatedCallAudio.jsx; client/src/components/admin/OwedCommitmentsSummary.jsx; client/src/utils/format-address.js; client/src/components/ui/index.js; client/src/components/admin/CallBridgeLink.jsx; client/src/components/admin/CustomerRequestsPanel.jsx; client/src/components/admin/CustomerPropertiesPanelV2.jsx; client/src/components/admin/CancelPlanDialog.jsx; client/src/lib/contact-roles.js; client/src/pages/admin/SchedulePage.jsx; client/src/hooks/useFeatureFlag.js; client/src/components/schedule/cardLinkStatus.js; client/src/lib/paymentMethodConsentText.js
client/src/components/admin/CustomerPropertiesPanelV2.jsx,CustomerPropertiesPanelV2:43,Card:174; CardBody:175; Button:181; Button:387; Button:400,,GET/default /admin/customers/${…}/properties:78; POST /admin/customers/${…}/properties:110; PATCH /admin/customers/${…}/properties/${…}:147,,; ,,client/src/components/ui/index.js; client/src/lib/contact-roles.js; client/src/utils/admin-fetch.js
client/src/components/admin/CustomerRequestsPanel.jsx,CustomerRequestsPanel:24,Button:129,,GET/default /admin/requests?customerId=${…}&openOnly=true&limit=50:49; PATCH /admin/requests/${…}:80,,; ,,client/src/components/ui/index.js; client/src/lib/adminFetch.js
client/src/components/admin/EstimateModalsV2.jsx,FollowUpModalV2:41; DeclineModalV2:105; ExtendEstimateModalV2:247,Dialog:64; DialogHeader:66; DialogTitle:68; DialogBody:73; Textarea:78; DialogFooter:88; Button:90; Button:93; Dialog:130; DialogHeader:132; DialogTitle:134; DialogBody:140; React.Fragment:149; DialogFooter:211; Button:213; Button:216; Dialog:278; DialogHeader:280; DialogTitle:282; DialogBody:300; DialogFooter:376; Button:378; Button:381,,GET/default ${…}${…}:29; POST /admin/estimates/${…}/follow-up:52; PATCH /admin/estimates/${…}:118; POST /admin/estimates/${…}/extend:263,,localStorage.getItem waves_admin_token:31; ,,client/src/components/ui/index.js; client/src/pages/admin/EstimatePage.jsx
client/src/components/admin/ExpenseCapture.jsx,ExpenseCapture:18,,,POST /admin/job-expenses/receipt-upload:80; POST /admin/job-expenses:90,,; ,,client/src/lib/adminFetch.js
client/src/components/admin/GeoGridMap.jsx,GeoGridMap:59,GoogleMap:90; Marker:98; InfoWindow:107,,,,; ,,
