question_id,engine,model,answer_available,citations_complete,brand_mentioned,waves_linked,target_page_linked
Q13,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q9,claude,claude-sonnet-5,true,true,true,true,true
Q17,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q9,gemini,gemini-2.5-flash,true,true,true,true,true
Q9,google_ai_overview,dataforseo:ai_overview,true,true,true,true,true
Q4,claude,claude-sonnet-5,true,true,true,true,true
Q4,gemini,gemini-2.5-flash,true,true,false,false,false
Q4,google_ai_overview,dataforseo:ai_overview,true,true,true,true,true
Q34,claude,claude-sonnet-5,true,true,false,true,false
Q34,gemini,gemini-2.5-flash,true,true,false,true,false
Q34,google_ai_overview,dataforseo:ai_overview,true,true,false,true,false
Q37,claude,claude-sonnet-5,true,true,false,false,false
Q37,gemini,gemini-2.5-flash,true,true,false,false,false
Q37,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q28,claude,claude-sonnet-5,true,true,false,true,false
Q28,gemini,gemini-2.5-flash,true,true,false,true,false
Q28,google_ai_overview,dataforseo:ai_overview,false,true,false,,
Q31,claude,claude-sonnet-5,true,true,false,true,false
Q31,gemini,gemini-2.5-flash,true,true,false,false,false
Q31,google_ai_overview,dataforseo:ai_overview,true,true,true,true,false
Q36,claude,claude-sonnet-5,true,true,false,true,false
Q36,gemini,gemini-2.5-flash,true,true,false,false,false
Q36,google_ai_overview,dataforseo:ai_overview,true,true,false,true,false
Q11,claude,claude-sonnet-5,true,true,false,true,false
Q11,gemini,gemini-2.5-flash,true,true,false,true,false
Q11,google_ai_overview,dataforseo:ai_overview,true,true,false,true,false
Q40,claude,claude-sonnet-5,true,true,false,false,false
Q40,gemini,gemini-2.5-flash,true,true,false,false,false
Q40,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q20,claude,claude-sonnet-5,true,true,false,false,false
Q20,gemini,gemini-2.5-flash,true,true,false,false,false
Q20,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q26,claude,claude-sonnet-5,true,true,false,false,false
Q26,gemini,gemini-2.5-flash,true,true,true,true,false
Q26,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q35,claude,claude-sonnet-5,true,true,false,true,false
Q35,gemini,gemini-2.5-flash,true,true,false,false,false
Q35,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q7,claude,claude-sonnet-5,true,true,true,true,true
Q7,gemini,gemini-2.5-flash,true,true,true,true,true
Q7,google_ai_overview,dataforseo:ai_overview,false,true,false,,
Q38,claude,claude-sonnet-5,true,true,false,true,false
Q38,gemini,gemini-2.5-flash,true,true,false,false,false
Q38,google_ai_overview,dataforseo:ai_overview,true,true,false,true,false
Q29,claude,claude-sonnet-5,true,true,false,false,false
Q29,gemini,gemini-2.5-flash,true,true,false,true,false
Q29,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q30,claude,claude-sonnet-5,true,true,false,false,false
Q30,gemini,gemini-2.5-flash,true,true,false,false,false
Q30,google_ai_overview,dataforseo:ai_overview,true,true,false,true,false
Q27,claude,claude-sonnet-5,true,true,false,false,false
Q27,gemini,gemini-2.5-flash,true,true,false,false,false
Q27,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q24,claude,claude-sonnet-5,true,true,false,true,false
Q24,gemini,gemini-2.5-flash,true,true,false,true,false
Q24,google_ai_overview,dataforseo:ai_overview,true,true,false,true,false
Q15,claude,claude-sonnet-5,true,true,false,false,false
Q15,gemini,gemini-2.5-flash,true,true,false,false,false
Q15,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q22,claude,claude-sonnet-5,true,true,false,false,false
Q22,gemini,gemini-2.5-flash,true,true,false,false,false
Q22,google_ai_overview,dataforseo:ai_overview,true,true,false,true,false
Q23,claude,claude-sonnet-5,true,true,false,false,false
Q23,gemini,gemini-2.5-flash,true,true,false,true,false
Q23,google_ai_overview,dataforseo:ai_overview,true,true,true,true,false
Q8,claude,claude-sonnet-5,true,true,true,true,false
Q8,gemini,gemini-2.5-flash,true,true,true,true,true
Q8,google_ai_overview,dataforseo:ai_overview,true,true,true,true,true
Q2,claude,claude-sonnet-5,true,true,false,false,false
Q2,gemini,gemini-2.5-flash,true,true,false,false,false
Q2,google_ai_overview,dataforseo:ai_overview,false,true,false,,
Q13,claude,claude-sonnet-5,true,true,false,false,false
Q13,gemini,gemini-2.5-flash,true,true,false,false,false
Q13,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q17,claude,claude-sonnet-5,true,true,false,false,false
Q17,gemini,gemini-2.5-flash,true,true,false,false,false
Q17,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
